wdpa_id,name,designation,desig_type,no_take,iucn_cat,iso3
555537187,ZONI EIDIKIS PROSTASIAS CHERSONISOS AKAMA,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,CYP
555538227,Cap Enderrocat - Cap Blanc,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555538264,Illots de Benidorm i Serra Gelada,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555539435,Estuaire de la Bidassoa et baie de Fontarabie,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555538284,Urdaibaiko itsasadarra / Ría de Urdaibai,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555539438,Panache de la Gironde,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539441,Tête de Canyon du Cap Ferret,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555538578,Montgó-Cap de Sant Antoni,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555539413,Estuaire et basse vallée de la Charente,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539439,Au droit de l'étang d'Hourtin-Carcans,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555538283,"Marismas de Santoña, Victoria y Joyel y Ría de Ajo",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555539546,Cap Bear- cap Cerbère,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539408,"Marais et estuaire de la Seudre, île d'Oléron",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539414,Pertuis charentais - Rochebonne,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539440,Bassin d'Arcachon et banc d'Arguin,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555538448,Cabo Busto-Luanco,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555539549,Iles d'Hyères,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539547,Côte languedocienne,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539548,Camargue,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539598,Plateau du Cap Corse,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539683,"DIAPONTIA NISIA (OTHONOI, EREIKOUSA, MATHRAKI KAI VRACHONISIDES)",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539729,"NISIDES LESVOU (SYMPLEGMA TOMARONISION, KODONAS, AGIOS GEORGIOS, GLARONISI, KLP) KAI THALASSIA PERIOCHI)",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539726,"LIMNOS, LIMNES CHORTAROLIMNI KAI ALYKI, KOLPOS MOUDROU ELOS DIAPORI KAI CHERSONISOS FAKOS, NISOS SERGITSI KAI NISIDES DIAVATES KOMPIOKASTRIA, TIGANI, KARKALAS, PRASONISI KAI THALASSIA PERIOCHI",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539579,"Iles Lavezzi, Bouches de Bonifacio",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,FRA
555539784,DIONYSADES NISOI KAI THALASSIA ZONI,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539754,"ANATOLIKO TMIMA NISOU SYMIS KAI NISIDES KOULOUNDROS SESKLI, TROUMPETO, MARMARAS, KARAVALONISI, MEGALONISI, GIALESINO, OXEIA, CHONDROS, PLATY, NIMOS  KAI THALASSIA PERIOCHI NISOU SYMIS",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539769,"NISIDES MYKONOU: RINEIA, CHTAPODIA, KAI TRAGONISI  KAI THALASSIA PERIOCHI",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539767,NISIDES PAROU KAI NOTIA ANTIPAROS KAI THALASSIA PERIOCHI,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555539748,"NISIDES KALYMNOU: EPANO NERA, SARI, TELENDOS  KAI THALASSIA PERIOCHI",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555540242,Laguna di Venezia,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540355,Isola di Capraia - area terrestre e marina,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540411,Colle San Bartolo e litorale pesarese,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540465,Parco Nazionale del Circeo,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540553,Costa Viola,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540567,"Monti Peloritani, Dorsale Curcuraci, Antennamare e area marina dello stretto di Messina",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
